generating meshes based on the pinched_channel.geo .

Running command: python mesh_set.py --geo geo_files/3D/pinched_channel.geo  --h 50 --dim 3 --nmeshes 20 --max_elem 1000000000 --max_nodes 50000000 --ref_rate 2.2

   h         nodes          elements	time(s)
50.0000:	       276	        79	0.29 	(deleted)
16.6667:	      1062	       241	0.33           
5.5556:	     14304	      2622	0.59           
4.0069:	     35664	      6304	0.97           
2.9308:	     84251	     14520	2.02           
2.1771:	    196357	     33154	5.46           
1.6317:	    447331	     74447	11.51           
1.2324:	   1009727	    166234	28.16           
0.9351:	   2265460	    370023	70.26           
0.7119:	   5056586	    820944	174.76           
0.5433:	  11245826	   1817321	885.23           


