   h         nodes          elements	time(s)
50.0000:	       276	        79	0.30 	(deleted)
16.6667:	      1064	       242	0.34           
5.5556:	     14352	      2625	0.59           
4.1618:	     31953	      5674	0.90           
3.1515:	     68310	     11805	1.85           
2.4188:	    143619	     24383	3.66           
1.8710:	    301246	     50465	8.27           
1.4543:	    623337	    103236	18.81           
1.1367:	   1278278	    209929	43.82           
0.8918:	   2603350	    424829	92.55           
0.7016:	   5277944	    856792	294.99           
0.5531:	  10660414	   1723179	1267.72           
